portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2002-06-01T00:00:00.0000000,-0.09898058026413749
Mine,2,2002-06-01T00:00:00.0000000,-0.07317641345532098
Mine,3,2002-06-01T00:00:00.0000000,-0.05102029435482176
Mine,1,2002-07-01T00:00:00.0000000,-0.10188135000533231
Mine,2,2002-07-01T00:00:00.0000000,-0.08694897718141675
Mine,3,2002-07-01T00:00:00.0000000,-0.06121790749308301
Mine,1,2002-08-01T00:00:00.0000000,-0.008029867556951842
Mine,2,2002-08-01T00:00:00.0000000,0.013722925178945466
Mine,3,2002-08-01T00:00:00.0000000,0.010166284698936946
Mine,1,2002-09-01T00:00:00.0000000,-0.11935210356761163
Mine,2,2002-09-01T00:00:00.0000000,-0.09554240797047081
Mine,3,2002-09-01T00:00:00.0000000,-0.09794908717600144
Mine,1,2002-10-01T00:00:00.0000000,0.11934909182890378
Mine,2,2002-10-01T00:00:00.0000000,0.0619655075501937
Mine,3,2002-10-01T00:00:00.0000000,0.06263463576371364
Mine,1,2002-11-01T00:00:00.0000000,0.10697535723381893
Mine,2,2002-11-01T00:00:00.0000000,0.05129689046170727
Mine,3,2002-11-01T00:00:00.0000000,0.02697708762033491
Mine,1,2002-12-01T00:00:00.0000000,-0.08686806518994665
Mine,2,2002-12-01T00:00:00.0000000,-0.046867443553027056
Mine,3,2002-12-01T00:00:00.0000000,-0.041119113932149204
Mine,1,2003-01-01T00:00:00.0000000,-0.03141225229645668
Mine,2,2003-01-01T00:00:00.0000000,-0.027841162399576142
Mine,3,2003-01-01T00:00:00.0000000,-0.017621579006393533
Mine,1,2003-02-01T00:00:00.0000000,-0.001729353505651092
Mine,2,2003-02-01T00:00:00.0000000,-0.03217677786999965
Mine,3,2003-02-01T00:00:00.0000000,-0.00952726896141781
Mine,1,2003-03-01T00:00:00.0000000,-0.004398150071073808
Mine,2,2003-03-01T00:00:00.0000000,0.004304913201808698
Mine,3,2003-03-01T00:00:00.0000000,0.024139834589768327
