date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-12-22,19.46,20.04,16.15,16.22,30687718,19.46,20.04,16.15,16.22,30687718,0.0,1.0
2020-12-23,20.57,22.3499,19.13,20.17,25830256,20.57,22.3499,19.13,20.17,25830256,0.0,1.0
2020-12-24,20.15,21.48,19.95,21.01,6262174,20.15,21.48,19.95,21.01,6262174,0.0,1.0
2020-12-28,20.99,21.97,20.35,21.31,8924279,20.99,21.97,20.35,21.31,8924279,0.0,1.0
2020-12-29,19.38,21.07,18.56,20.82,9241441,19.38,21.07,18.56,20.82,9241441,0.0,1.0
2020-12-30,19.26,20.0,18.85,19.38,5934391,19.26,20.0,18.85,19.38,5934391,0.0,1.0
2020-12-31,18.84,19.8,18.8,19.25,6922652,18.84,19.8,18.8,19.25,6922652,0.0,1.0
2021-01-04,17.25,19.1,17.15,19.0,10022474,17.25,19.1,17.15,19.0,10022474,0.0,1.0
2021-01-05,17.37,18.0765,17.23,17.35,4961457,17.37,18.0765,17.23,17.35,4961457,0.0,1.0
2021-01-06,18.36,18.98,17.33,17.34,6056248,18.36,18.98,17.33,17.34,6056248,0.0,1.0
2021-01-07,18.08,19.45,18.02,18.47,6129276,18.08,19.45,18.02,18.47,6129276,0.0,1.0
2021-01-08,17.69,18.3,17.08,18.18,6481960,17.69,18.3,17.08,18.18,6481960,0.0,1.0
2021-01-11,19.94,20.65,19.01,19.41,14927612,19.94,20.65,19.01,19.41,14927612,0.0,1.0
2021-01-12,19.95,20.4,19.3168,19.96,6999775,19.95,20.4,19.3168,19.96,6999775,0.0,1.0
2021-01-13,31.4,38.65,20.03,20.42,143530129,31.4,38.65,20.03,20.42,143530129,0.0,1.0
2021-01-14,39.91,43.06,33.05,38.09,93717410,39.91,43.06,33.05,38.09,93717410,0.0,1.0
2021-01-15,35.5,40.75,34.01,38.49,46866358,35.5,40.75,34.01,38.49,46866358,0.0,1.0
2021-01-19,39.36,45.52,36.64,41.55,74721924,39.36,45.52,36.64,41.55,74721924,0.0,1.0
2021-01-20,39.12,41.1899,36.06,37.37,33471789,39.12,41.1899,36.06,37.37,33471789,0.0,1.0
2021-01-21,43.03,44.75,37.0,39.23,57079754,43.03,44.75,37.0,39.23,57079754,0.0,1.0
2021-01-22,65.01,76.7573,42.32,42.59,194084194,65.01,76.7573,42.32,42.59,194084194,0.0,1.0
2021-01-25,76.79,159.18,61.13,96.73,177874000,76.79,159.18,61.13,96.73,177874000,0.0,1.0
2021-01-26,147.98,150.0,80.2,88.56,161894423,147.98,150.0,80.2,88.56,161894423,0.0,1.0
2021-01-27,347.51,380.0,249.0,354.83,90516825,347.51,380.0,249.0,354.83,90516825,0.0,1.0
2021-01-28,193.6,483.0,112.25,265.0,58815805,193.6,483.0,112.25,265.0,58815805,0.0,1.0
2021-01-29,325.0,413.98,250.0,379.71,49414294,325.0,413.98,250.0,379.71,49414294,0.0,1.0
2021-02-01,225.0,322.0,212.0,316.56,37382152,225.0,322.0,212.0,316.56,37382152,0.0,1.0
2021-02-02,90.0,158.0,74.2201,140.76,76663691,90.0,158.0,74.2201,140.76,76663691,0.0,1.0
2021-02-03,92.41,113.3999,85.25,112.01,42698511,92.41,113.3999,85.25,112.01,42698511,0.0,1.0
2021-02-04,53.5,91.5,53.33,91.19,62427275,53.5,91.5,53.33,91.19,62427275,0.0,1.0
2021-02-05,63.77,95.0,51.09,54.04,81345013,63.77,95.0,51.09,54.04,81345013,0.0,1.0
2021-02-08,60.0,72.66,58.02,72.41,25687282,60.0,72.66,58.02,72.41,25687282,0.0,1.0
2021-02-09,50.31,57.0,46.52,56.61,25598598,50.31,57.0,46.52,56.61,25598598,0.0,1.0
2021-02-10,51.2,62.83,46.55,50.77,35943280,51.2,62.83,46.55,50.77,35943280,0.0,1.0
